,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040223,0.007719052,-0.00908015,0.000339351,-0.010587236,-0.008463727,-0.01033908,,-0.015203652,-0.018357198,,-0.012596851,-0.016647527,-0.015139293,-0.020921253
20040224,-0.045544424,-0.015458555,-0.015907322,-0.005179569,0.004285012,-0.01788935,-0.023818458,,-0.021643469,-0.015766551,-0.014799275,-0.000810924,-0.008172658,-0.029128402
20040225,-0.003520071,-0.018818651,-0.007505152,-0.01062803,-0.018655514,-0.014636435,-0.022620573,-0.030838981,-0.012200661,-0.011598111,,-0.03362969,-0.007170602,-0.008370601
20040226,-0.022781523,-0.01234577,-0.009673907,-0.018599403,-0.009769287,-0.025880719,-0.013319081,-0.011417656,0.001717577,-0.012411209,-0.007645068,-0.006228325,-0.010931314,-0.006592435
20040227,-0.012410514,0.001587825,-0.012626005,0.002537564,-0.007157663,-0.023781032,,0.00189007,-0.010279511,-0.007529807,-0.01000014,-0.01050168,-0.007617632,
20040301,-0.001085407,-0.004430991,-0.00906339,-0.013527936,-0.011981851,-0.016395889,-0.013568585,-0.029602404,-0.009998166,-0.016475766,,-0.014189347,-0.010463668,-0.009450794
20040302,-0.009123793,0.579177708,0.015545575,-0.023745903,-0.019577245,-0.011145144,0.002020239,-0.008916553,-0.009661574,-0.002741375,-0.003198128,-0.003644137,-0.023566693,0.015381108
20040303,-0.011733888,-0.006469744,-0.003947459,-0.010537048,-0.007921199,-0.008621112,0.005567307,-0.017571922,-0.009949956,-0.011817542,-0.017574951,-0.000103587,-0.007558828,-0.005563651
20040304,-0.009390856,-0.0138258,-0.001366048,0.000966666,-0.02077147,,-0.005772933,-0.01732127,-0.006068725,-0.008380426,-0.00473473,-0.006656968,,-0.013421164
20040305,-0.032653118,-0.007791389,-0.008502505,0.007754477,-0.010313739,,-0.029322297,-0.017207276,,-0.004071005,-0.020104723,,-0.006039348,-0.009313271
20040308,-0.007407975,-0.015730576,0.011550465,-0.006637233,-0.033438321,-0.014079377,-0.002938201,,-0.006594509,0.001179212,-0.001768331,-0.001108632,-0.004681546,-0.01248167
20040309,-0.02146793,-0.008967985,-0.012152374,-0.011507897,-0.010927646,-0.003987767,-0.036672389,0.000735911,-0.016653753,0.004475019,0.009391288,-0.006043652,,-0.003345371
20040310,-0.005231718,-0.005519861,-0.022916754,-0.006672727,0.003264567,-0.027028071,-0.008656753,-0.016318713,-0.010053007,0.009927912,0.003341482,0.000978564,0.045932993,-0.002749177
20040311,-0.03537877,-0.011864638,-0.038488318,-0.004863968,-0.023355715,-0.02389643,-0.034511842,-0.026042342,,,-0.030081374,,-0.005329968,-0.011528661
20040312,0.000315464,-0.01411244,-0.013691481,-0.021205652,-0.012107308,-0.015283016,,-0.017974067,-0.016138915,,-0.019246062,-0.019869783,-0.032902262,-0.004057524
20040315,-0.047592053,-0.019042461,-0.011722795,-0.009445954,0.001910496,-0.003150585,-0.012014176,-0.011681607,-0.018511547,-0.023257433,,,-0.008555455,-0.003593941
20040316,0.007439755,-0.010850699,-0.006515894,-0.01601797,-0.031164597,-0.01547216,-0.017697484,-0.024154409,,-0.012336,-0.01935714,0.002167691,-0.032012959,-0.010040447
20040317,0.015799929,-0.02105528,-0.021173222,-0.011540803,-0.012872699,-0.017920202,-0.010650117,,-0.016531666,-0.015631024,-0.018220134,-0.028463133,-0.005713071,-0.015587748
20040318,-0.014712197,-0.024941893,-0.012624754,-0.011180149,-0.006227718,-0.011745733,-0.022280388,-0.011567185,-0.026849215,-0.009048823,-0.005323743,-0.010132761,-0.013121146,-0.004482925
20040319,2.98E-05,-0.006782047,-0.011940883,-0.009944218,,,,-0.006386589,-0.009863011,-0.003378126,,-0.013429798,-0.008942902,-0.009467096
20040322,-0.033715532,0.00667426,-0.011646938,-0.026510178,-0.016688015,-0.015256433,-0.025230378,-0.014753869,-0.014877881,0.033124678,-0.00639455,-0.012095427,-0.002465628,-0.011933115
20040323,0.014556705,-0.003967186,-0.043426611,-0.007497207,-0.01098926,0.001627797,-0.019826814,-0.039339876,-0.010618945,-0.024286284,-0.013137335,-0.012361247,-0.01044017,-0.0057012
20040324,-0.016778447,-0.008781419,-0.013915917,-0.013956267,-0.018297817,-0.012084359,-0.013533446,-0.018404666,-0.017994864,-0.023215521,-0.014028043,,-0.004229347,-0.00558712
20040325,0.001901709,-0.00979193,-0.003575131,-0.007242381,-0.025593773,-0.032563084,-0.012251927,-0.018421261,-0.010664829,-0.00765924,-0.014887567,-0.008505814,-0.014548873,-0.021824747
20040326,-0.033324234,-0.029364744,-0.007692394,-0.011108119,-0.019918071,-0.003375275,-0.007780072,-0.011652403,,,,,-0.018213977,0.01203206
20040329,0.038969646,-0.011810372,-0.022589668,-0.012992441,-0.014784056,-0.007178769,-0.011108472,,-0.00852219,-0.009101454,-0.020379321,-0.165271076,,-0.006708322
20040330,-0.006311865,-0.024068936,,,-0.003757529,-0.017962646,,-0.016710842,,-0.042968315,,-0.011728138,-0.008273457,-0.006101251
20040331,-0.0099242,-0.011589626,-0.020402104,-0.02418377,,-0.020321318,,,-0.019979924,-0.011204194,-0.006586462,-0.012479007,-0.009807972,-0.014056507
20040401,0.002996673,-0.013719698,-0.009516732,-0.016793326,-0.018231622,-0.013406985,-0.012058906,,,-0.01026461,-0.005620582,-0.010977719,-0.006495031,-0.017114905
20040402,0.041046644,-0.012798429,-0.023341797,-0.003926856,-0.018933208,-0.006942111,-0.014332196,-0.012526754,-0.010555052,-0.011882848,-0.007130964,-0.014902757,-0.013388908,-0.013395414
20040405,0.000920972,-0.009735584,-0.003716541,-0.006341215,-0.001981679,-0.01430323,-0.012118309,-0.017595141,,-0.003131204,-0.017037906,-0.007901303,-0.013039366,-0.008557054
20040406,-0.031481349,-0.010241304,-0.016894511,-0.013946459,-0.01546741,,,-0.00154451,-0.01825151,-0.014364053,-0.007593256,7.53E-05,0.010521068,-0.010997804
20040407,-0.005133003,-0.006783104,-0.007432989,-0.004071293,-0.003763087,-0.009016274,,-0.003197412,-0.009005266,,,-0.007251211,,-0.004353049
20040408,0.00931375,,-0.016489929,-0.014440306,,,,,,-0.029578276,,-0.024959403,-0.024307661,-0.023936886
20040412,-0.014991685,-0.020228595,-0.012860197,-0.021488269,-0.014958481,-0.01956264,-0.016102941,,-0.013764487,,-0.015062295,-0.007486108,-0.021497566,-0.016438345
20040413,-0.001501457,-0.013129106,-0.014380527,,-0.017035031,-0.004588328,-0.159923285,-0.009495738,-0.016262569,-0.015984059,-0.024279439,-0.014538613,-0.018910527,-0.011738504
20040414,-0.047493563,-0.018870547,-0.029126721,-0.014807067,-0.016153083,-0.020153549,-0.016722477,,-0.014197951,-0.0138158,-0.008454589,-0.005682798,-0.01988659,-0.021551905
20040415,-0.009521016,-0.013770724,-0.011545484,-0.00745516,-0.017159313,-0.008496292,-0.026840089,-0.022398207,-0.02347841,-0.00401429,-0.025050189,-0.01412214,-0.026726479,-0.023211565
20040416,-0.013754553,-0.006586341,-0.016787195,-0.024788747,-0.014492447,-0.015717538,-0.017138852,-0.013427125,-0.016322771,-0.011540894,-0.012824388,-0.007647673,-0.00881991,-0.031108631
20040419,-0.019219001,-0.015350044,-0.025690405,-0.008310663,-0.026658111,-0.009023775,-0.019895479,-0.011861614,-0.016009041,,,,-0.018051885,
20040420,-0.021051328,-0.029548425,-0.021127784,-0.012461032,-0.01983187,-0.013197019,,-0.025580162,-0.011106168,,,-0.033620263,-0.007730469,-0.014449476
20040421,-0.016194347,-0.026672206,-0.016954214,-0.008302787,-0.019872304,-0.011160802,-0.026781788,-0.016009564,,-0.020504283,,-0.016139272,,-0.015043736
20040422,-0.023303016,,-0.020082751,-0.01425187,,-0.020514574,-0.018530061,-0.013724542,-0.021711776,-0.015897441,-0.0315974,-0.019383428,-0.016134182,-0.015358029
20040423,-0.03009856,-0.01624697,-0.024480035,-0.021472159,-0.008736548,-0.02038183,,-0.019878649,-0.024901783,-0.016191322,-0.01976685,-0.018211378,-0.017370512,-0.033758758
20040426,-0.009702829,-0.017336313,,-0.018252181,-0.023702034,-0.022770027,-0.011540045,,,,-0.012687169,,-0.034275664,-0.016409908
20040427,0.000342829,-0.021312237,-0.027360747,-0.023562647,-0.013827346,-0.047234282,-0.021835418,-0.022729892,-0.017303148,-0.024586268,-0.008677729,-0.004822108,-0.023333043,-0.015590982
20040428,-0.031431194,-0.015470077,-0.014999613,-0.010960258,-0.010155823,-0.018376702,-0.024856891,-0.042517576,,-0.026627939,,-0.013120437,-0.015318113,-0.020540019
20040429,-0.01328808,-0.012643653,-0.037240248,-0.012027347,-0.020234172,-0.010951899,0.005740001,-0.02520087,-0.005462345,-0.010485507,-0.013051287,-0.013614407,-0.015414988,-0.024289073
