83000,83500,83000,83000
85730,90230,85960,90000
92730,93230,92960,93000
95730,100230,95960,100000
102730,103230,102960,103000
105730,110230,105960,110000
112730,113230,112960,113000
115730,120230,115960,120000
122730,123230,122960,123000
125730,130230,125960,130000
132730,133230,132960,133000
135730,140230,135960,140000
142730,143230,142960,143000
145500,150000,145960,150000
