,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040309,-0.027493877,-0.012760213,-0.012152374,-0.001699537,,-0.007079804,,0.005651303,,-0.027954189,-0.010419096,,,-0.006736521
20040310,-0.009131876,-0.000438013,,,-0.013278584,,,,-0.009353223,-0.018921111,,-0.019777198,-0.010059588,-0.015860176
20040311,-0.03537877,-0.021195425,-0.038488318,-0.009884895,-0.023355715,-0.02389643,-0.147959692,-0.026042342,,,-0.030081377,,-0.013672756,-0.011529847
20040312,0.0001289,-0.020399782,-0.0156195,-0.021205682,-0.012107288,-0.028651655,,-0.017974067,-0.016138915,,-0.019246062,-0.019687116,-0.032902262,-0.021853081
20040315,-0.046843721,-0.019042461,-0.011722795,-0.009445954,0.001910496,-0.006224507,-0.012014176,-0.017287444,-0.012911191,-0.023257433,,,-0.008555455,-0.003593902
20040316,0.006610921,-0.010850699,-0.019362108,-0.01601797,-0.031164597,-0.01485183,-0.018754448,-0.024154409,,-0.012336,-0.01935714,0.002167704,-0.032012959,-0.017791967
20040317,0.00983799,-0.021055282,-0.021173222,-0.010138595,-0.012872699,-0.017920202,-0.010650117,,-0.016531666,-0.015631024,-0.018220134,-0.028463133,-0.009274466,-0.015603047
20040318,-0.016625596,-0.02145479,-0.019562064,-0.013583696,-0.012693961,-0.01434824,-0.022280388,-0.027372052,-0.026849414,-0.011212122,-0.005323743,-0.010132761,-0.027036364,-0.010830367
20040319,,-0.01887524,,-0.014197022,,,,-0.006386589,-0.005604822,,,-0.006415877,,-0.023255035
20040322,-0.027660634,-0.001863088,-0.012575081,-0.041048547,-0.027088876,-0.014598935,-0.025230378,,-0.014924575,-0.007211566,0.002592252,-0.031983298,-0.022025821,-0.029770787
20040323,,-0.020134249,-0.127602511,-0.020775875,-0.015229821,-0.009769363,-0.017966694,-0.039339876,,-0.024286284,,-0.034327597,-0.029286701,-0.002893065
20040324,,-0.020285297,-0.013915917,-0.004504195,-0.038501387,-0.034652802,-0.026058289,-0.018404666,,-0.023215521,-0.014028043,,,-0.028731268
